Key,English,Spanish,French,German,Russian,Japanese,Korean,Portuguese,Vietnamese,Indonesian,ChineseSimplified,ChineseTraditional
PUSH_1,Get your FREE diamonds and unlock more songs!,¡Consigue diamantes GRATIS y desbloquea más canciones!,Obtenez vos diamants GRATUITS et débloquez plus de chansons !,Deine KOSTENLOSEN Diamanten bekommen und mehr Songs entriegeln!,Получите БЕСПЛАТНЫЕ алмазы и откройте больше песен!,無料のダイヤモンドを手に入れて、曲をもっとアンロックしよう！,무료 다이아몬드를 받고 더 많은 노래를 만나보세요!,Receba seus diamantes GRATUITOS e desbloqueie mais músicas!,Nhận kim cương miễn phí và mở thêm bài hát!,Dapatkan berlian GRATIS dan buka lebih banyak lagu!,获取免费钻石，解锁更多歌曲！,取得免費鑽石並解鎖更多歌曲！
PUSH_2,Let's play and enjoy wonderful melodies with us!,¡Juega y disfruta de maravillosas melodías con nosotros!,Jouez et écoutez de merveilleuses mélodies avec nous !,Spiele und genieße tolle Melodien mit uns!,Давайте вместе сыграем и прослушаем замечательные мелодии!,素敵なメロディーを一緒に演奏して楽しもう！,함께 멋진 멜로디를 플레이하고 즐겨봐요!,Vamos jogar e curtir melodias maravilhosas!,Cùng chơi và thưởng thức những giai điệu tuyệt vời với chúng tôi!,Ayo main dan nikmati melodi yang indah bersama kami!,一起玩吧，和我们一起欣赏美妙的旋律！,快一起來遊玩並欣賞美妙的旋律吧！
PUSH_3,FREE gift for you. Get it NOW <<<,Hay un regalo GRATIS para ti. Consíguelo AHORA <<<,Cadeau GRATUIT pour vous. Obtenir MAINTENANT <<<,KOSTENLOSES Geschenk für dich. Bekomme es JETZT <<<,БЕСПЛАТНЫЙ подарок для вас. Получить его СЕЙЧАС <<<,無料のプレゼントをご用意。 今すぐゲット<<<,나만을 위한 무료 선물. 지금 받기 <<<,Um BRINDE para você. Receba AGORA <<<,Nhận quà miễn phí. Chơi ngay <<<,Hadiah GRATIS untuk Anda. Dapatkan SEKARANG<<<,给你的免费礼物。现在获取<<<,為您準備的免費禮物。立即取得 <<<
SETTING,SETTING,AJUSTE,RÉGLAGE,EINSTELLUNG,НАСТРОЙКА,設定,설정,CONFIGURAÇÃO,CÀI ĐẶT,SETELAN,设置,設定
SOUND,SOUND,SONIDO,SON,TON,ЗВУК,サウンド,소리,SOM,ÂM THANH,SUARA,声音,音效
MUSIC,MUSIC,MÚSICA,MUSIQUE,MUSIK,МУЗЫКА,音楽,음악,MÚSICA,NHẠC,MUSIK,音乐,音樂
REMOVE_ADS,REMOVE ADS,SIN ANUNCIOS,ENLEVER LA PUB,WERBUNG ENTFERNEN,УБРАТЬ РЕКЛАМУ,広告を削除,광고 제거,REMOVER ANÚNCIOS,REMOVE ADS,HAPUS IKLAN,删除广告,移除廣告
LANGUAGE,LANGUAGE,IDIOMA,LANGUE,SPRACHE,ЯЗЫК,言語,언어,IDIOMA,NGÔN NGỮ,BAHASA,语言,語言
RATE_US,RATE US,VALÓRANOS,ÉVALUEZ-NOUS,BEWERTEN SIE UNS,ОЦЕНИ НАС,評価,평가 남기기,FAÇA UMA AVALIAÇÃO,ĐÁNH GIÁ,NILAI KAMI,评价我们,為我們評分
HELP,HELP,AYUDA,AIDE,HILFE,ПОМОЩЬ,ヘルプ,도움말,AJUDA,GIÚP ĐỠ,BANTUAN,帮助,協助
CREDIT,CREDIT,CRÉDITO,CRÉDIT,MITWIRKENDE,АВТОРЫ,クレジット,크레딧,CRÉDITOS,GiỚI THIỆU,KREDIT,积分,存款
SOUND_ON,On,Activar,Activé,Ein,Включить,オン,켜기,Ligado,Bật,Nyala,开,開啟
SOUND_OFF,Off,Apagar,Désactivé,Aus,Выключить,オフ,끄기,Desligado,Tắt,Mati,关,關閉
DAILY_REWARD,DAILY REWARD,RECOMPENSA DIARIA,RÉCOMPENSE QUOTIDIENNE,TÄGLICHE BELOHNUNG,ЕЖЕДНЕВНАЯ НАГРАДА,デイリーリワード,일일 보상,RECOMPENSA DIÁRIA,PHẦN THƯỞNG HÀNG NGÀY,HADIAH HARIAN,每日奖励,每日獎勵
DAILY_REWARD_DES,Come back daily to get your reward!,¡Vuelve a diario para recibir tu recompensa!,Revenez chaque jour pour obtenir votre récompense !,"Schauen Sie jeden Tag hier vorbei, um Ihre Belohnung zu erhalten!","Возвращайся ежедневно, чтобы получать свою награду!",毎日戻ってきてリワードをもらおう！,매일 방문하고 보상을 받아보세요!,Volte diariamente para receber sua recompensa!,Chơi game hàng ngày để nhận thưởng,Kembalilah setiap hari untuk mendapatkan hadiah!,每天回来领取奖励！,每天回來取得您的獎勵！
CLAIM,CLAIM,RECLAMAR,DEMANDER,EINLÖSEN,ЗАПРОС,受け取る,신청,RESGATE,NHẬN,AMBIL,认领,取得獎勵
Day1,Day 1,Día 1,Jour 1,Tag 1,День 1,1日目,1일 차,Dia 1,Ngày 1,Hari 1,第 1 天,第 1 天
Day2,Day 2,Día 2,Jour 2,Tag 2,День 2,2日目,2일 차,Dia 2,Ngày 2,Hari 2,第 2 天,第 2 天
Day3,Day 3,Día 3,Jour 3,Tag 3,День 3,3日目,3일 차,Dia 3,Ngày 3,Hari 3,第 3 天,第 3 天
Day4,Day 4,Día 4,Jour 4,Tag 4,День 4,4日目,4일 차,Dia 4,Ngày 4,Hari 4,第 4 天,第 4 天
Day5,Day 5,Día 5,Jour 5,Tag 5,День 5,5日目,5일 차,Dia 5,Ngày 5,Hari 5,第 5 天,第 5 天
DoubleRewards,Double Rewards,Doble recompensa,Double récompenses,Doppelte Belohnungen,Двойные награды,ダブルリワード,두 배 보상,Recompensar em dobro,Nhân đôi quà,Hadiah Ganda,双倍奖励,加倍獎勵
SUPER_BOX_DIAMOND,SUPER DIAMOND BOX,SUPER CAJA DIAMANTE,SUPER BOÎTE DE DIAMANTS,GROSSARTIGE DIAMANTENKISTE,СУПЕР-АЛМАЗНЫЙ СУНДУК,スーパーダイヤ箱,슈퍼 다이아몬드 박스,SUPER CAIXA DE DIAMANTE,SUPER DIAMOND BOX,KOTAK BERLIAN SUPER,超级钻石盒,超級鑽石箱
FREE_ITEMS,FREE ITEMS,ARTÍCULOS GRATIS,ARTICLES GRATUITS,KOSTENLOSE GEGENSTÄNDE,БЕСПЛАТНЫЕ ПРЕДМЕТЫ,無料アイテム,무료 아이템,ITENS GRATUITOS,QUÀ MiỄN PHÍ,BARANG GRATIS,免费项目,免費道具
SHOP,SHOP,TIENDA,BOUTIQUE,SHOP,МАГАЗИН,ショップ,상점,LOJA,CỬA HÀNG,BELANJA,购物,商店
NOTICE,NOTICE,AVISO,REMARQUE,HINWEIS,УВЕДОМЛЕНИЕ,お知らせ,알림,AVISO,CHÚ Ý,PEMBERITAHUAN,注意,通知
NOT_ENOUGH_GOLD,You do not have enough Coin!,¡No tienes suficientes monedas!,Vous n'avez pas assez de pièces !,Sie haben nicht genug Münzen!,Тебе не хватает монет!,コインが足りません！,코인이 부족합니다!,Você não tem moedas suficientes!,Bạn không có đủ vàng,Koin Anda tidak cukup!,你的钱币不足！,您的金幣不足！
NOT_ENOUGH_DIAMON,You do not have enough Diamond!,¡No tienes suficientes diamantes!,Vous n'avez pas assez de diamants !,Sie haben nicht genug Diamanten!,Тебе не хватает алмазов!,ダイアモンドが足りません！,다이아몬드가 부족합니다!,Você não tem diamantes suficientes!,Bạn không có đủ kim cương,Berlian Anda tidak cukup!,你的钻石不足！,您的鑽石不足！
